Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews,Number_Of_Tracker,,Most_Used_In_Countries
Xiaomi,FitnessBand,Smart Band 5,Black,799,"2,999",AMOLED Display,4.1,Thermoplastic polyurethane,14,3,1,,India
Xiaomi,FitnessBand,Smart Band 4,Black,949,"2,499",AMOLED Display,4.2,Thermoplastic polyurethane,14,1,1,,India
Xiaomi,FitnessBand,HMSH01GE,Black,"1,099","2,099",LCD Display,3.5,Leather,14,1,1,,India
Xiaomi,FitnessBand,Smart Band 5,Black,"1,195","2,999",AMOLED Display,4.1,Thermoplastic polyurethane,14,1,1,,India
Xiaomi,FitnessBand,Band 3,Black,"1,270","2,199",OLED Display,4.3,Plastic,7,0,1,,India
Xiaomi,FitnessBand,Band - HRX Edition,Black,"1,283","1,799",OLED Display,4.2,Plastic,20,4,1,,India
Xiaomi,FitnessBand,Band 2,Black,"1,290","2,499",OLED Display,4.3,Plastic,7,3,1,,India
Xiaomi,Smartwatch,Revolve,Black,"1,299","15,999",AMOLED Display,4.4,Silicone,14,2,1,,India
Xiaomi,Smartwatch,RevolveActive,Black,"1,299","15,999",AMOLED Display,4.4,Silicone,14,3,1,,USA
Xiaomi,FitnessBand,Smart Band 3i,Black,"1,395","1,599",OLED Display,4.2,Thermoplastic polyurethane,7,2,1,,USA
OnePlus ,FitnessBand,Steven Harrington Edition Band,Blue,"1,399","3,999",AMOLED Display,4.3,Thermoplastic polyurethane,7,3,1,,Russia
OnePlus ,FitnessBand,Band,Dual Color,"1,450","2,799",AMOLED Display,4.2,Thermoplastic polyurethane,7,4,1,,Russia
FitBit,Smartwatch,Versa 2,Dual Color,"1,499","14,999",AMOLED Display,4.3,Silicone,7,4,1,,Russia
FitBit,Smartwatch,Sense,Dual Color,"1,499","22,999",AMOLED Display,4.2,Elastomer,7,3,1,,Russia
FitBit,Smartwatch,Versa 3,Dual Color,"1,499","18,999",AMOLED Display,4.3,Elastomer,7,1,1,,India
FitBit,FitnessBand,Charge 4,Dual Color,"1,595","9,999",PMOLED Display,4.2,Elastomer,7,5,1,,India
FitBit,FitnessBand,Inspire,Dual Color,"1,645","7,999",LED Display,4.2,Silicone,5,5,1,,India
FitBit,FitnessBand,Inspire 2,Dual Color,"1,649","7,999",PMOLED Display,4.4,Thermoplastic polyurethane,10,4,1,,USA
FitBit,FitnessBand,Lunar,Dual Color,"1,699","10,999",AMOLED Display,4.7,Silicone,7,1,1,,USA
FitBit,FitnessBand,Charge 4,Dual Color,"1,699","11,999",PMOLED Display,4.2,Elastomer,7,1,1,,Nepal
FitBit,FitnessBand,FB413LVLV,Dual Color,"1,699","38,500",AMOLED Display,4.1,Silicone,5,2,1,,USA
FitBit,FitnessBand,Flex Small,Dual Color,"1,699","8,490",OLED Display,3.8,Rubber,5,2,1,,USA
FitBit,FitnessBand,Inspire HR,Dual Color,"1,722","8,999",LED Display,4.3,Silicone,5,2,1,,USA
FitBit,FitnessBand,Inspire,Dual Color,"1,799","7,999",LED Display,4.2,Silicone,5,3,1,,USA
FitBit,FitnessBand,Charge 3,Dual Color,"1,799","13,999",OLED Display,4.3,Silicone,7,2,1,,France
FitBit,Smartwatch,Versa Special Edition,Dual Color,"1,899","23,499",AMOLED Display,4.1,Fabric,7,1,1,,France
FitBit,Smartwatch,Ionic,Dual Color,"1,899","24,999",LCD Display,4.1,Elastomer,7,2,1,,USA
FitBit,Smartwatch,Versa 2 Special Edition,Dual Color,"1,999","23,999",AMOLED Display,4.4,Silicone,7,4,1,,France
FitBit,Smartwatch,Ionic,Dual Color,"1,999","24,999",LCD Display,4.1,Elastomer,7,5,1,,Sri Lanka
FitBit,Smartwatch,Ionic,Dual Color,"1,999","26,499",LCD Display,4.1,Elastomer,7,3,1,,France
FitBit,Smartwatch,Versa,Dual Color,"1,999","23,499",AMOLED Display,4.1,Silicone,7,2,1,,France
FitBit,Smartwatch,Versa,Dual Color,"1,999","21,499",AMOLED Display,4.2,Silicone,7,1,1,,France
FitBit,Smartwatch,Surge,Dual Color,"2,000","24,990",LCD Display,3.8,Elastomer,7,2,1,,France
FitBit,FitnessBand,Charge 2,Dual Color,"2,099","14,999",PMOLED Display,4.3,Silicone,7,3,1,,India
FitBit,FitnessBand,Charge 3 Special Edition,Dual Color,"2,099","15,999",OLED Display,4,Silicone,7,4,1,,India
FitBit,Smartwatch,Blaze,Dual Color,"2,199","19,999",LCD Display,4.2,Elastomer,7,3,1,,India
FitBit,Smartwatch,Blaze,Dual Color,"2,199","19,999",LCD Display,4.2,Elastomer,7,2,1,,India
FitBit,Smartwatch,Blaze,Dual Color,"2,199","22,999",LCD Display,4.2,Elastomer,7,1,1,,India
FitBit,Smartwatch,Surge,Dual Color,"2,199","19,990",LCD Display,3.8,Elastomer,7,2,1,,India
FitBit,FitnessBand,Alta HR,Dual Color,"2,200","14,999",OLED Display,4.3,Elastomer,7,3,1,,India
FitBit,FitnessBand,Charge 2,Dual Color,"2,469","14,999",PMOLED Display,4.4,Silicone,7,4,1,,India
FitBit,Smartwatch,Versa Lite Edition,Dual Color,"2,469","16,999",AMOLED Display,4.2,Elastomer,7,5,1,,India
FitBit,Smartwatch,Surge,Dual Color,"2,490","24,990",LCD Display,3.8,Elastomer,7,3,1,,India
FitBit,Smartwatch,versa,Dual Color,"2,495","21,499",AMOLED Display,4.1,Silicone,7,6,1,,India
FitBit,Smartwatch,Versa,Dual Color,"2,499","19,999",AMOLED Display,4.1,Silicone,7,4,1,,India
FitBit,FitnessBand,Charge HR,Dual Color,"2,499","14,990",OLED Display,3.9,Thermoplastic polyurethane,7,8,1,,India
FitBit,FitnessBand,Charge HR,Dual Color,"2,499","14,990",OLED Display,3.9,Thermoplastic polyurethane,7,3,1,,India
FitBit,FitnessBand,Alta HR,Dual Color,"2,499","16,999",OLED Display,4.3,Elastomer,7,2,1,,India
FitBit,Smartwatch,Versa Lite Edition,Dual Color,"2,499","15,999",AMOLED Display,4.2,Elastomer,7,4,1,,India
FitBit,FitnessBand,Alta,Dual Color,"2,499","12,999",OLED Display,4.1,Elastomer,7,2,1,,India
FitBit,Smartwatch,Versa 3,Dual Color,"2,499","18,999",AMOLED Display,4.3,Elastomer,7,3,1,,India
FitBit,FitnessBand,Charge 2,Violet ,"2,499","14,999",PMOLED Display,4.3,Silicone,7,1,1,,India
FitBit,Smartwatch,Versa,Violet ,"2,499","21,499",AMOLED Display,4.1,Silicone,7,2,1,,India
FitBit,Smartwatch,Versa 2,Violet ,"2,499","21,999",AMOLED Display,4.3,Silicone,7,3,1,,India
FitBit,Smartwatch,Surge,Violet ,"2,499","19,990",LCD Display,3.8,Elastomer,7,2,1,,India
FitBit,FitnessBand,Charge 3,Violet ,"2,499","13,999",OLED Display,4.3,Silicone,7,1,1,,India
FitBit,FitnessBand,Charge 2,Violet ,"2,499","14,999",PMOLED Display,4.3,Silicone,7,2,1,,India
FitBit,FitnessBand,Charge 2,Violet ,"2,499","14,999",PMOLED Display,4.4,Silicone,7,1,1,,India
FitBit,FitnessBand,Charge 2,Violet ,"2,499","14,999",PMOLED Display,4.4,Silicone,7,2,1,,India
FitBit,FitnessBand,Charge 2,Violet ,"2,513","14,999",PMOLED Display,4.3,Silicone,7,2,1,,India
FitBit,FitnessBand,Charge 2,Violet ,"2,599","14,999",PMOLED Display,4.3,Silicone,7,2,1,,India
FitBit,FitnessBand,Inspire HR,Violet ,"2,599","9,999",LED Display,4.3,Silicone,5,2,1,,India
FitBit,FitnessBand,Inspire HR,Violet ,"2,699","9,999",LED Display,4.3,Silicone,5,2,1,,India
realme,FitnessBand,Band 2,Violet ,"2,699","3,499",TFT-LCD Display,4.1,Silicone,7,2,1,,India
realme,FitnessBand,Band,Violet ,"2,699","2,999",TFT-LCD Display,4,Silicone,7,2,1,,India
realme,FitnessBand,Smart band,Violet ,"2,700","2,999",TFT-LCD Display,4,Silicone,7,1,1,,India
realme,FitnessBand,Band,Violet ,"2,799","2,999",TFT-LCD Display,4,Silicone,7,1,1,,India
Huawei,FitnessBand,Band 4,Violet ,"2,799","3,099",TFT-LCD Display,4.2,Silicone,7,3,1,,India
Huawei,FitnessBand,Band 2,Violet ,"2,799","4,999",PMOLED Display,4.1,Silicone,7,2,1,,India
Huawei,FitnessBand,Band 2,Red,"2,899","6,999",PMOLED Display,4.2,Silicone,7,1,1,,India
Huawei,FitnessBand,Band 2,Red,"2,949","4,599",PMOLED Display,4.1,Silicone,7,2,1,,India
